"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Campania","Liguria","Toscana"
"72",2020-10-25,1295.80317861569,211.340859516606,165.097150670321,59.7807947462127,66.6653183730891,72.8349643994418,65.9778863283121,68.963290888266
"73",2020-10-26,1336.99648937313,214.952752537605,168.283730157794,61.0073742061936,69.1770020964741,76.0147005577231,66.8896530541835,71.705278285233
"74",2020-10-27,1378.90086413728,218.537740452409,171.465976308608,62.2353304992347,71.7741670887863,79.3199012508334,67.7742331063654,74.5357639381006
"75",2020-10-28,1421.5102135253,222.094598459474,174.642687570949,63.464199873379,74.4593808886813,82.7549399163157,68.631944424676,77.4568027158563
"76",2020-10-29,1464.81799192956,225.62216762697,177.812692874716,64.6935262970923,77.2352765117424,86.324319680303,69.4631460831835,80.4704705941181
"77",2020-10-30,1508.81720738292,229.11935409342,180.97485225537,65.9228618217092,80.1045537627401,90.0326763940042,70.2682336679754,83.5788641023762
"78",2020-10-31,1553.50043192233,232.585128157557,184.128057392687,67.15176691602,83.0699805643898,93.8847817156024,71.0476349170276,86.7840997506531
"79",2020-11-01,1598.85981241969,236.01852326718,187.271232067335,68.3798107734883,86.1343943025721,97.8855462375005,71.80180562195,90.0883134358721
"80",2020-11-02,1644.88708184935,239.418634916478,190.403332538318,69.6065715926437,89.3007031879697,102.040022658832,72.5312257891791,93.4936598282407
"81",2020-11-03,1691.57357096079,242.784619460923,193.523347844356,70.8316368312425,92.5718876340692,106.353409003124,73.2363960563281,97.0023117379807
"82",2020-11-04,1738.91022032566,246.115692858528,196.630300032362,72.0546034348352,95.951001651473,110.831051880986,73.9178343578534,100.61645946276
"83",2020-11-05,1786.88759272801,249.411129345846,199.723244316191,73.2750780404176,99.4411742584521,115.478449797653,74.5760728329305,104.338310116199
"84",2020-11-06,1835.49588586689,252.670260056754,202.801269168864,74.4926771558765,103.045610907668,120.301256505212,75.2116549674128,108.170086937844
"85",2020-11-07,1884.72494534066,255.892471591669,205.863496351485,75.7070273159717,106.767594928986,125.305284399291,75.8251329609551,112.114028585036
"86",2020-11-08,1934.56427788272,259.077204544454,208.909080882048,76.9177652156195,110.610488988285,130.496507959981,76.4170653097914,116.172388407089
"87",2020-11-09,1985.00306481885,262.223951993906,211.937210947349,78.1245378212641,114.577736562182,135.881067236717,76.9880145952344,120.347433702257
"88",2020-11-10,2036.0301757165,265.332257966321,214.947107761149,79.3270024611418,118.672863428553,141.465271376849,77.5385454676955,124.641444957941
"89",2020-11-11,2087.63418219732,268.401715875263,217.938025371732,80.5248268952528,122.899479172748,147.25560219755,78.0692228158871,129.056715074649
